r (Angstrom),"g(r),NE2-CL, Q","g(r),NE2-OE1, Q"
0.1,0.0,0.0
0.30000000000000004,0.0,0.0
0.5000000000000001,0.0,0.0
0.7000000000000001,0.0,0.0
0.9000000000000001,0.0,0.0
1.1000000000000003,0.0,0.0
1.3000000000000003,0.0,0.0
1.5000000000000004,0.0,0.0
1.7000000000000004,0.0,0.0
1.9000000000000004,0.0,0.0
2.1000000000000005,0.0,0.0
2.3000000000000007,0.0,0.0
2.5000000000000004,0.0,0.0077699527667332005
2.7000000000000006,0.0,0.25129572528987826
2.900000000000001,0.002981034858467771,0.5409555758752834
3.1000000000000005,0.376990475467162,0.40778388837891283
3.3000000000000007,1.3986996914523533,0.3019658829662964
3.500000000000001,1.2373136484325546,0.3040879242787938
3.7000000000000006,0.7949120553614659,0.27568949009421706
3.900000000000001,0.5629978013427722,0.33028284832108146
4.1000000000000005,0.5086752783972592,0.3276983576949435
4.300000000000001,0.45771967829868887,0.3603137592374533
4.500000000000001,0.4649972234479187,0.3973014267697692
4.7,0.5380906677116604,0.45266715026885285
4.9,0.5681782171745935,0.5276621365874634
5.1000000000000005,0.622356800814684,0.5692139277482074
5.300000000000001,0.7008192500241838,0.5655291933143065
5.500000000000001,0.7415632109243866,0.6242429848174758
5.700000000000001,0.7610670497730158,0.6350043406229254
5.9,0.8742444106616134,0.6554140046796765
6.1000000000000005,0.8417901742160148,0.6627393082218482
6.300000000000001,0.882708225166634,0.7176265080429882
6.500000000000001,0.8508935977426348,0.6617698933899462
6.700000000000001,0.8620330123934576,0.6694039037713947
6.900000000000001,0.8109435475817456,0.7119907379818662
7.100000000000001,0.8479907831809322,0.7114087126275025
7.300000000000001,0.8125167315290548,0.7347248471150497
7.500000000000001,0.844667718053068,0.7546888690183808
7.700000000000001,0.8506393419182985,0.7721096606881849
7.900000000000001,0.8573437785658804,0.7900491515189062
8.100000000000001,0.8828063049991428,0.7939318838441629
8.3,0.9032103127431965,0.7967955200898185
8.500000000000002,0.8953990985518544,0.8293057658660191
8.700000000000001,0.9478151901328647,0.8325006022272762
8.900000000000002,0.9435332793235985,0.8496083287327151
9.100000000000001,0.9305302970256294,0.8352418255019245
9.3,0.9503850486475091,0.8457361083482302
9.500000000000002,0.932744238084668,0.8651978208184555
9.700000000000001,0.9697131514170818,0.887314963389642
9.900000000000002,0.9638097693748268,0.8926866571391185
10.100000000000001,0.9695353042594359,0.8940703821303457
10.300000000000002,0.9842589345189768,0.90052702940825
10.500000000000002,0.9960313584760503,0.9063941271609244
10.700000000000001,0.9809419348310081,0.9341352123496204
10.900000000000002,0.9897099709380548,0.9366194511316881
11.100000000000001,1.0002683560682215,0.9249414730742327
11.300000000000002,0.969987167989437,0.9384026654152409
11.500000000000002,0.9901171301219713,0.94025866116346
11.700000000000001,1.0023594434027516,0.9333910748778081
11.900000000000002,0.9994144571443249,0.9601342982589929
12.100000000000001,0.9979101271014824,0.9672028774933537
12.300000000000002,0.9969715715928774,0.9542306347735461
12.500000000000002,1.0003962524421697,0.9575636112884333
12.700000000000003,1.003889968252372,0.951278493066279
12.900000000000002,1.0097772043719302,0.957823663736711
13.100000000000001,1.00811746770721,0.9718119860452366
13.300000000000002,1.0143244253229602,0.9595307743173802
13.500000000000002,0.9900666997563486,0.9648649418952341
13.700000000000003,0.9917702431057946,0.9869477011446821
13.900000000000002,0.993942390443982,0.9914487465768097
14.100000000000003,0.9995628692755367,0.9758370480530296
14.300000000000002,1.0012965920634855,0.9668767415759142
14.500000000000002,0.9945628956640481,0.9965033710191309
14.700000000000003,0.9979185931850973,0.9735633490096887
14.900000000000002,0.9969536627376018,0.9986590603524523
15.100000000000003,1.011582978562902,0.9908073004589839
15.300000000000002,0.9833272920521794,0.9877862587616413
15.500000000000002,1.0127639551865384,0.986143282608664
15.700000000000003,1.0112418433591972,0.9950025428957212
15.900000000000002,0.9979660436184932,1.0056992356645345
16.100000000000005,1.0146880414384158,0.9985790206211924
16.300000000000004,1.0025454885029288,0.9929169491732336
16.500000000000004,1.0019250992567656,1.0030848609769125
16.700000000000006,1.004689050690036,1.0025738704202674
16.900000000000006,1.001291987837593,0.9981972545846212
17.100000000000005,1.000651233083012,0.9930345290001271
17.300000000000004,0.9983454156098063,0.991085895673788
17.500000000000004,1.0014151909588296,1.0119195209129512
17.700000000000006,1.0092922539910665,1.0102847471386074
17.900000000000006,1.0070990655027212,1.0005684981072354
18.100000000000005,1.0122961506830412,1.002575859564487
18.300000000000004,1.009874983335398,1.0071925608355885
18.500000000000004,1.014906703422432,1.0045638574415752
18.700000000000006,0.9996595039962954,1.0136953415457268
18.900000000000006,0.98890075351717,1.0023908710753187
19.100000000000005,1.0004748975068347,1.0133382951574892
19.300000000000004,1.0084622858949561,1.0032065308419877
19.500000000000004,1.0045364241001877,1.0033546268550668
19.700000000000006,0.9997536707077607,1.0034468716319995
19.900000000000006,1.0084812315781657,0.9987604049392944
20.100000000000005,1.0148627212157866,1.0109753608710226
