r (Angstrom),"g(r),NZ-CL, K","g(r),NZ-OE1, K"
0.1,0.0,0.0
0.30000000000000004,0.0,0.0
0.5000000000000001,0.0,0.0
0.7000000000000001,0.0,0.0
0.9000000000000001,0.0,0.0
1.1000000000000003,0.0,0.0
1.3000000000000003,0.0,0.0
1.5000000000000004,0.0,0.0
1.7000000000000004,0.0,0.0
1.9000000000000004,0.0,0.0
2.1000000000000005,0.0,0.0
2.3000000000000007,0.0,0.0
2.5000000000000004,0.0,3.5796829646035206
2.7000000000000006,0.0,20.121683236833334
2.900000000000001,0.9861914953274044,7.701996167894604
3.1000000000000005,13.74225139990627,3.1321327763071443
3.3000000000000007,7.266673898712993,1.9511790218137235
3.500000000000001,1.3025702657104279,1.5081634518599927
3.7000000000000006,0.48891666779749365,1.3153693001464801
3.900000000000001,0.3820994717790333,1.3347352783564213
4.1000000000000005,0.3952340333385471,1.3713946558518413
4.300000000000001,0.5252264509305152,1.4807429422565164
4.500000000000001,0.7445188536000467,1.6919361489961455
4.7,1.0580573778891564,1.8653509456476642
4.9,1.3619108772980995,1.466993670090416
5.1000000000000005,1.7265761883446546,1.1108252306239672
5.300000000000001,1.8388157977632251,1.0490894569005993
5.500000000000001,1.8832508746835972,0.9471817542385674
5.700000000000001,1.672770351868866,0.9761612273972692
5.9,1.3004850070028757,1.009795942898739
6.1000000000000005,1.0744203713359193,1.1209557592585897
6.300000000000001,0.9484639021081083,1.1959003384510343
6.500000000000001,0.9233362529141607,1.3018034622697228
6.700000000000001,0.9545299933259533,1.3373731166784872
6.900000000000001,0.9949575246645407,1.3482938695301245
7.100000000000001,1.0651076438853437,1.3651686078781262
7.300000000000001,1.0905194194966341,1.424809085958758
7.500000000000001,1.1486154538585802,1.453469438819326
7.700000000000001,1.1655612646557312,1.551991420343736
7.900000000000001,1.1512735098348248,1.5629862746395493
8.100000000000001,1.0941794974028782,1.4896586445302078
8.3,1.0442492763373252,1.4103746967425916
8.500000000000002,1.0044570036818496,1.3432960549646884
8.700000000000001,1.0036037695662858,1.3084158653534534
8.900000000000002,0.9732780561845665,1.2792534782602294
9.100000000000001,0.9978593794124331,1.2150678968971018
9.3,1.0092588174130617,1.1258603979997033
9.500000000000002,1.0003801079065846,1.0504639620922178
9.700000000000001,1.0165768446603587,1.0136180196821074
9.900000000000002,1.0077315586039504,1.022845196520235
10.100000000000001,1.0304355300697532,1.030774560438657
10.300000000000002,1.0237057080353136,1.011186358739763
10.500000000000002,1.0102021782983526,1.014883042475362
10.700000000000001,1.0196577074870923,1.0035184570978943
10.900000000000002,1.0269100351674363,1.024376017964448
11.100000000000001,1.029048865587211,1.0311023231774725
11.300000000000002,1.0052990012243581,1.0206972763331223
11.500000000000002,1.0242647464172518,1.0068701407700362
11.700000000000001,1.0228459298600292,1.0142398439176452
11.900000000000002,1.0224341334809242,1.0196444180249002
12.100000000000001,1.0247169438019832,1.0181402739903547
12.300000000000002,1.035091462459295,1.011735544480862
12.500000000000002,1.0388822134350195,1.0096862887942866
12.700000000000003,1.013965988051893,0.9904496663517756
12.900000000000002,1.0109079061348325,1.0059418856086846
13.100000000000001,1.020155415268225,1.0125023724493887
13.300000000000002,1.028676266462001,0.9977814130723037
13.500000000000002,1.0139635483443588,1.0051579855299848
13.700000000000003,1.0237515947986744,1.0007333955288895
13.900000000000002,1.0153322647432952,1.0106312870032919
14.100000000000003,1.021282201842589,0.988749107817131
14.300000000000002,1.0275975557743922,1.0011866345714004
14.500000000000002,1.0181722105923288,0.9901546381038426
14.700000000000003,1.0284198184274427,0.9899099257127059
14.900000000000002,0.9984791839819255,0.9849936975652726
15.100000000000003,1.0122428385963682,0.9758426689438123
15.300000000000002,1.0322198886042764,0.983045113539228
15.500000000000002,1.0141829946868308,0.9953402804934803
15.700000000000003,1.0228741035755036,0.9842188510010079
15.900000000000002,1.0127305614258917,0.9857800509594459
16.100000000000005,1.0125480018375335,0.9891399225877995
16.300000000000004,1.017398738877218,0.9750555846205227
16.500000000000004,1.0068900992735486,0.97822833835884
16.700000000000006,1.0018881267735325,0.9799164559412936
16.900000000000006,1.0088470739626216,0.9801228720927568
17.100000000000005,1.010999305256882,0.9763178570800696
17.300000000000004,0.9993801487157887,0.9813612080818228
17.500000000000004,1.0022587975342472,0.9742883258275603
17.700000000000006,1.008838153464793,0.9765840473924083
17.900000000000006,1.003476608452839,0.9776106369827064
18.100000000000005,1.0024276923115292,0.982573092326926
18.300000000000004,1.0032237487727866,0.9709013554406456
18.500000000000004,1.006400577702722,0.9669809593842825
18.700000000000006,1.0119478297172422,0.9753752505718052
18.900000000000006,1.006499630527449,0.9761873101205712
19.100000000000005,1.0099099209634539,0.9826553461967109
19.300000000000004,1.0004914360753607,0.9764946746974987
19.500000000000004,1.006892538060564,0.9843493902210494
19.700000000000006,1.0015612029864653,0.9901159796329104
19.900000000000006,1.005869821999649,0.9782331175512997
20.100000000000005,1.011562131425867,0.977702112288461
