r (Angstrom),"g(r),OG-CL, S","g(r),OG-OE1, S"
0.1,0.0,0.0
0.30000000000000004,0.0,0.0
0.5000000000000001,0.0,0.0
0.7000000000000001,0.0,0.0
0.9000000000000001,0.0,0.0
1.1000000000000003,0.0,0.0
1.3000000000000003,0.0,0.0
1.5000000000000004,0.0,0.0
1.7000000000000004,0.0,0.0
1.9000000000000004,0.0,0.0
2.1000000000000005,0.0,0.0
2.3000000000000007,0.0,0.0
2.5000000000000004,0.0,1.2198251183228064
2.7000000000000006,0.0,2.8399424069775465
2.900000000000001,0.3875594172766608,0.8662648737059848
3.1000000000000005,2.9782952364162716,0.37843812979875524
3.3000000000000007,1.8155472760624278,0.3751216918794364
3.500000000000001,0.4902475066112395,0.379044007479861
3.7000000000000006,0.20789942982022955,0.47114235862562515
3.900000000000001,0.29346730733480864,0.5579719732033264
4.1000000000000005,0.39607437604970414,0.6477065105704815
4.300000000000001,0.5526852057141888,0.7108067767003826
4.500000000000001,0.7120935837835991,0.7568241460803518
4.7,0.8270544091015111,0.7772412835937328
4.9,0.8700756835201868,0.6812648004893821
5.1000000000000005,0.8894808136044097,0.6167630781451011
5.300000000000001,0.8544282505946152,0.613839219661885
5.500000000000001,0.7602609875250711,0.639763527366547
5.700000000000001,0.7591847805253716,0.6449440366424665
5.9,0.6931016739179421,0.6869340801397171
6.1000000000000005,0.6807556034493312,0.7198609806923566
6.300000000000001,0.683716790791422,0.7106398578201869
6.500000000000001,0.7301480904334514,0.7585516658879516
6.700000000000001,0.7900128297396906,0.7693341737952841
6.900000000000001,0.8562990873908513,0.7757953698097619
7.100000000000001,0.8694362732324927,0.7714350278827977
7.300000000000001,0.8728123850335857,0.8069066540741758
7.500000000000001,0.9138322693077167,0.8200366812715817
7.700000000000001,0.8997630725911698,0.8360964537966875
7.900000000000001,0.9444040932233737,0.8692758073706207
8.100000000000001,0.920897599687601,0.8640378361484298
8.3,0.9072717944246409,0.866389217397191
8.500000000000002,0.9289574022467373,0.8994460164316038
8.700000000000001,0.9125823595852662,0.9042258470136648
8.900000000000002,0.9173111265204881,0.9128971853241861
9.100000000000001,0.96556973943035,0.8982445323325144
9.3,0.9916232886132117,0.9051736294686221
9.500000000000002,0.9812981184760027,0.9182584050919107
9.700000000000001,0.9791033318675694,0.9264130305011827
9.900000000000002,0.9883106553602193,0.8938109027022408
10.100000000000001,0.9907420149612801,0.911785481189695
10.300000000000002,1.0044187229770205,0.9268978410942689
10.500000000000002,0.9843780444337279,0.9251264325032869
10.700000000000001,0.9866988234317061,0.9259365551633776
10.900000000000002,1.00180542056952,0.9447353145903982
11.100000000000001,0.9914773926259788,0.9528266189555243
11.300000000000002,1.0069766961403137,0.9360195820264143
11.500000000000002,1.003737468880747,0.9493087553752466
11.700000000000001,0.995093650413374,0.9624021426984442
11.900000000000002,1.0218815632693101,0.9621617217884793
12.100000000000001,1.0114217631315392,0.9745354256863732
12.300000000000002,1.0023392417110257,0.9620156850079756
12.500000000000002,1.012738543639251,0.9712932123423568
12.700000000000003,0.9976560486835433,0.9737899986308531
12.900000000000002,1.001625959301178,0.9745122295795146
13.100000000000001,0.9973652798265766,0.9933219747422181
13.300000000000002,1.0133956058255167,0.9799127233630153
13.500000000000002,1.0024457742405586,0.9877059376560766
13.700000000000003,1.017290589806385,0.9795571111710031
13.900000000000002,1.01730608412261,0.9925647930760455
14.100000000000003,1.0007617204898327,0.9874740804719319
14.300000000000002,0.9935104715669454,0.989458895264893
14.500000000000002,1.006733505228057,0.9818897781865809
14.700000000000003,1.0119693683493862,0.9799416239460341
14.900000000000002,1.0019873092360019,1.0000804650330546
15.100000000000003,1.0056509882182356,1.0020012583329
15.300000000000002,1.0149451952622035,1.0021306477408185
15.500000000000002,1.0036411634065083,0.9993668941242635
15.700000000000003,1.0082011607738592,0.9873973989100434
15.900000000000002,1.00566789182118,0.9939826421317661
16.100000000000005,1.0058020390339755,0.9961187713983541
16.300000000000004,1.0068086051100589,1.0137694905399117
16.500000000000004,0.9940186925225655,1.007105860001539
16.700000000000006,1.0104646106613537,1.0040461131717027
16.900000000000006,1.00807357183578,0.9869558459034222
17.100000000000005,0.9971540519637073,1.0016676040294736
17.300000000000004,0.9952257818439465,1.0091967981791437
17.500000000000004,1.009954674342156,1.0071575940728432
17.700000000000006,1.0081152683497279,0.9957858632831054
17.900000000000006,0.9973780569226391,1.0058769422991778
18.100000000000005,0.9959384690462869,1.0012812149766201
18.300000000000004,1.0041716886241328,1.0031530124262698
18.500000000000004,1.0073110815451867,1.0052554242013025
18.700000000000006,1.0095139945752283,1.0043977132412216
18.900000000000006,1.0083078562141308,1.0040995381882927
19.100000000000005,1.0020511068631606,1.0084022965996837
19.300000000000004,1.0090328761817406,1.0161720713771067
19.500000000000004,1.0107354713963634,1.0093984964197598
19.700000000000006,0.9928696063399262,1.0002233792418564
19.900000000000006,0.994262687476844,1.0119477374770625
20.100000000000005,0.9924548906138311,0.9996178249488308
