r (Angstrom),"g(r),CZ-CL, Y","g(r),CZ-OE1, Y"
0.1,0.0,0.0
0.30000000000000004,0.0,0.0
0.5000000000000001,0.0,0.0
0.7000000000000001,0.0,0.0
0.9000000000000001,0.0,0.0
1.1000000000000003,0.0,0.0
1.3000000000000003,0.0,0.0
1.5000000000000004,0.0,0.0
1.7000000000000004,0.0,0.0
1.9000000000000004,0.0,0.0
2.1000000000000005,0.0,0.0
2.3000000000000007,0.0,0.0
2.5000000000000004,0.0,0.0
2.7000000000000006,0.0,0.0
2.900000000000001,0.0,0.0
3.1000000000000005,0.0,0.03534871230202234
3.3000000000000007,0.0,0.669292438847239
3.500000000000001,0.011259454378691046,1.0900173918422622
3.7000000000000006,0.3260641531973,0.5164070858125672
3.900000000000001,1.4567013498135706,0.22484364291360254
4.1000000000000005,1.10325177966791,0.2236622980837024
4.300000000000001,0.42454028810802374,0.2800939065944922
4.500000000000001,0.23531478618154822,0.38333739537207323
4.7,0.30541140072541767,0.45952168919572806
4.9,0.42409582825276887,0.5011413426455018
5.1000000000000005,0.5158857379488427,0.5917487263186986
5.300000000000001,0.6066996997098648,0.6303902027858483
5.500000000000001,0.6931446616433435,0.6776244339743172
5.700000000000001,0.6878222439913002,0.7063256753350521
5.9,0.7367336804265525,0.7024770772221107
6.1000000000000005,0.7545994762670623,0.6874775871957851
6.300000000000001,0.7804443902762724,0.7178611904075936
6.500000000000001,0.7732285954758172,0.7068256429252385
6.700000000000001,0.7939711316500424,0.7103778386844448
6.900000000000001,0.7928650679314477,0.7627974097232282
7.100000000000001,0.7923678526674489,0.76757080982865
7.300000000000001,0.8698022265683338,0.7686662175550443
7.500000000000001,0.9031807181226233,0.7639935314319912
7.700000000000001,0.921176635534632,0.7831555748065739
7.900000000000001,0.9348130550839363,0.7642555084710644
8.100000000000001,0.9270696052890046,0.7947760528119767
8.3,0.9238893739806531,0.7669889669887788
8.500000000000002,0.9364710222098647,0.7966302755714578
8.700000000000001,0.9401435322515483,0.8195805579706245
8.900000000000002,0.9113493488140743,0.819902452330728
9.100000000000001,0.9310998584338734,0.8384530312868883
9.3,0.9445554404983554,0.8333497883342655
9.500000000000002,0.9257709777047813,0.8737629181697361
9.700000000000001,0.9315797978455708,0.8678968344273342
9.900000000000002,0.9411492181196999,0.8797204688147738
10.100000000000001,0.9676852857150849,0.8705621120520458
10.300000000000002,0.9658219157221897,0.8832615612348109
10.500000000000002,0.9772664575782058,0.9122118221530965
10.700000000000001,0.9797464827226778,0.9129918995625185
10.900000000000002,0.9851849607715228,0.899167557688739
11.100000000000001,0.9612000824312544,0.9350091369981929
11.300000000000002,0.9773736669753881,0.9372636242379633
11.500000000000002,0.9793341044255559,0.9240269202093541
11.700000000000001,0.9913963974668035,0.9348691206481822
11.900000000000002,0.9978535089440972,0.9525534702737453
12.100000000000001,0.9912649934825689,0.951075963133212
12.300000000000002,0.9951860502548693,0.9427568940273788
12.500000000000002,0.9980307508379374,0.9513446743851706
12.700000000000003,1.0071226548038963,0.9648736307203256
12.900000000000002,0.985781743161809,0.9633848201988391
13.100000000000001,0.9972759799982314,0.9818235688915629
13.300000000000002,0.9923959156935549,0.9724173741410502
13.500000000000002,1.0044332107816731,0.9892040724884557
13.700000000000003,0.9993735439914054,0.9784521201414618
13.900000000000002,1.0007462544436938,0.9963959097131021
14.100000000000003,0.993756171117935,0.987702004704414
14.300000000000002,1.0128859152161738,0.9905400597762192
14.500000000000002,0.9974252803396019,0.9941080530768875
14.700000000000003,0.9873021368740247,0.9929875901649905
14.900000000000002,1.0185995788732338,1.0054426255144857
15.100000000000003,1.0103842537557424,0.9917363676512163
15.300000000000002,1.011947066491291,0.9823505574015694
15.500000000000002,1.0064142731271741,0.9769150448547737
15.700000000000003,1.0116696902037579,0.9966735933272066
15.900000000000002,0.9927281355362527,0.9921837424699964
16.100000000000005,1.0131677139237198,1.0055991259753347
16.300000000000004,1.0098415304370467,0.9960090880505584
16.500000000000004,0.9949045476231599,0.9948303609750038
16.700000000000006,1.00094478086191,0.9983302179263064
16.900000000000006,1.0004036669048713,1.011999039736948
17.100000000000005,1.0100367496156897,1.011611309490114
17.300000000000004,1.0012751492199976,1.003868074947639
17.500000000000004,1.0134953138036236,1.0025008157442086
17.700000000000006,1.0014097991672766,1.0099088734179933
17.900000000000006,1.0031888654620973,1.014328798741819
18.100000000000005,1.0110795148299059,0.9964436662597145
18.300000000000004,1.0004117789398694,1.0002229271434462
18.500000000000004,1.0004433731667137,1.0025477808068959
18.700000000000006,0.9992444286606428,0.9944135348149761
18.900000000000006,1.0206206445789667,1.0120219856531958
19.100000000000005,1.007059104267982,1.0235608642930338
19.300000000000004,1.0072706883617273,1.0155802357566526
19.500000000000004,1.00182448378783,0.9976158414884999
19.700000000000006,1.001201872814947,1.0086659677593661
19.900000000000006,0.9973604725135696,1.012488565947751
20.100000000000005,1.0081586043136403,1.0069228344199996
