r (Angstrom),"g(r),N1-CL, R","g(r),N1-OE1, R"
0.1,0.0,0.0
0.30000000000000004,0.0,0.0
0.5000000000000001,0.0,0.0
0.7000000000000001,0.0,0.0
0.9000000000000001,0.0,0.0
1.1000000000000003,0.0,0.0
1.3000000000000003,0.0,0.0
1.5000000000000004,0.0,0.0
1.7000000000000004,0.0,0.0
1.9000000000000004,0.0,0.0
2.1000000000000005,0.0,0.0
2.3000000000000007,0.0,0.0
2.5000000000000004,0.0,0.13845729591592923
2.7000000000000006,0.0,4.962282155410383
2.900000000000001,0.3616916970470362,5.171814738102487
3.1000000000000005,9.635798114875751,2.5363850220802697
3.3000000000000007,10.65052639877149,2.0805310188586317
3.500000000000001,3.8457460703834236,2.041920153870446
3.7000000000000006,1.5973028731144443,1.5629255964893147
3.900000000000001,1.1046166089074327,1.2266221116799325
4.1000000000000005,1.0844527570774927,0.9553467990069111
4.300000000000001,1.007436846481077,0.985633472394392
4.500000000000001,0.8469025771140067,1.076857540984159
4.7,0.8134757822860168,1.2592848888860444
4.9,0.8891260057930401,1.4573477118392295
5.1000000000000005,1.2361643747220277,1.364734691199494
5.300000000000001,1.9855320781725436,1.2625140859345305
5.500000000000001,1.8014826284144756,1.1941787873200358
5.700000000000001,1.3925280504422566,1.223557050507974
5.9,1.1491648367921008,1.2186719818281087
6.1000000000000005,1.0780579777058001,1.2024882106570867
6.300000000000001,1.0817319959518914,1.2078640063618966
6.500000000000001,1.0708716027773266,1.191615037055984
6.700000000000001,1.1072205169403577,1.2348088148324479
6.900000000000001,1.083359002208781,1.1973393044212486
7.100000000000001,1.1005494286779174,1.1923835949137556
7.300000000000001,1.1263756459834953,1.2134699118141805
7.500000000000001,1.1432809204473084,1.1836102988106298
7.700000000000001,1.1110591079561893,1.21721670697963
7.900000000000001,1.1201893883681158,1.195849525985365
8.100000000000001,1.102661785992495,1.219839596512908
8.3,1.0305090081327613,1.1859500920848234
8.500000000000002,1.0169709899751307,1.181397803883356
8.700000000000001,0.9866693922282099,1.1309177540317183
8.900000000000002,1.0041323103088517,1.1442447321016747
9.100000000000001,1.000080392238706,1.1442297382483844
9.3,1.0238718131870377,1.1210518623453145
9.500000000000002,1.0191986487883475,1.0710962810864337
9.700000000000001,1.019978262604826,1.0629261949042639
9.900000000000002,0.9928680152159386,1.0679624658692386
10.100000000000001,1.0261389384374449,1.0360069353941053
10.300000000000002,1.0230855461200563,1.0398264657309815
10.500000000000002,1.0138856524470794,1.0468350824814427
10.700000000000001,0.9871898316606853,1.0333403848096987
10.900000000000002,0.9849549592939518,1.0654965736692354
11.100000000000001,1.0116766830584238,1.0389511697530953
11.300000000000002,1.0011806451382113,1.0297259847774938
11.500000000000002,0.9974638055841958,1.0243835157474575
11.700000000000001,0.9903314363073185,1.031498022055994
11.900000000000002,1.0100327416256851,1.0356363487184843
12.100000000000001,1.019082947044031,1.0192421146001722
12.300000000000002,1.001480247919899,1.039788545835848
12.500000000000002,1.0249365226505782,1.021934404043218
12.700000000000003,1.0170884296643818,1.016842995868042
12.900000000000002,1.0149790130767211,1.0278804433829825
13.100000000000001,1.0062987426782022,1.0216968663587356
13.300000000000002,1.0065957821313927,1.0129123620193128
13.500000000000002,1.006430682160399,1.0199744805710735
13.700000000000003,0.9989015428353726,1.009692988334319
13.900000000000002,1.0086111785085197,1.0154273549538453
14.100000000000003,1.0046275116667027,1.010303888898418
14.300000000000002,1.023004931449004,1.00164142137135
14.500000000000002,1.0076832940401566,1.0170773428702231
14.700000000000003,1.0027501449443954,1.005235775749958
14.900000000000002,1.0050456061497128,1.0041937391358557
15.100000000000003,1.0046931403694188,1.002510037649655
15.300000000000002,1.0163228372429425,1.0013355265409645
15.500000000000002,1.0027221945705094,0.9970113161947882
15.700000000000003,1.001727240415558,1.0151889746033467
15.900000000000002,1.0067033433301,1.0124603705995412
16.100000000000005,1.0004404420577702,1.017369776756196
16.300000000000004,1.0085283492716572,1.0021902976891806
16.500000000000004,1.0156609835166812,1.0044939712604402
16.700000000000006,1.0051073250118532,1.0008965587829173
16.900000000000006,1.0051156087644055,1.0022808157595087
17.100000000000005,1.005061895664142,1.0126670063487475
17.300000000000004,1.0067317149912731,0.9936038963680209
17.500000000000004,0.9950064754507992,1.0001246798650656
17.700000000000006,1.0103492934234515,0.9823212155095637
17.900000000000006,1.0024353435256845,0.9905377903704756
18.100000000000005,1.0042117263246233,1.0059425329506253
18.300000000000004,1.0001129950725733,1.0090772366677927
18.500000000000004,0.9990000464478288,0.9971441424777839
18.700000000000006,1.0027492614541553,0.9926383415323391
18.900000000000006,0.9955832370690884,0.9956679875318812
19.100000000000005,1.006336032806692,0.990917428301298
19.300000000000004,0.9974909683840161,0.9914245813714221
19.500000000000004,0.9951981736516442,1.0045197250639215
19.700000000000006,1.0010480512840423,0.9981503552957276
19.900000000000006,1.0058363432355257,1.0031268136393914
20.100000000000005,0.9873651111241303,0.9955541567410873
