r (Angstrom),"g(r) CA-Cl-, Glycine (G)","g(r) CA-OE1, Glycine (G)","g(r) CA-Cl-, Serine (S)","g(r) CA-OE1, Serine (S)","g(r) CA-Cl-, Arginine (R)","g(r) CA-OE1, Arginine (R)","g(r) CA-Cl-, Lysine (K)","g(r) CA-OE1, Lysine (K)","g(r) CA-Cl-, Aspartic acid (D)","g(r) CA-OE1, Aspartic acid (D)","g(r) CA-Cl-, Glutamine (Q)","g(r) CA-OE1, Glutamine (Q)","g(r) CA-Cl-, Tyrosine (Y)","g(r) CA-OE1, Tyrosine (Y)","g(r) CA-Cl-, Phenylalanine (F)","g(r) CA-OE1, Phenylalanine (F)"
0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.7000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.900000000000001,0.0,0.008650687712888697,0.0,0.001439671144183199,0.0,0.0014320587596327564,0.0,0.00142868280822623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.1000000000000005,0.0,0.10350903409864104,0.0,0.08957037976610316,0.0,0.018764625002599643,0.0,0.01500328320488261,0.0,0.005048921909625314,0.0,0.0037902388068273086,0.0,0.007568444235333019,0.0,0.006311999968722353
3.3000000000000007,0.016117877226710896,0.31410685028969754,0.0023024652013461057,0.37073934518758533,0.0,0.1203515155927738,0.0,0.06839513918858803,0.0,0.06459583650502607,0.0,0.027858941779150347,0.0,0.030064165879812445,0.0,0.025622007783520112
3.500000000000001,0.20162308493814435,0.553571199570001,0.09006593283825028,0.8907413552543736,0.02432736127335,0.2738212911795813,0.009123208933492017,0.1667110885649722,0.00511666462349719,0.15346632142120395,0.007163306868115591,0.08517710503978793,0.011258901507150466,0.08711121578779248,0.007165343994079188,0.06736140356393563
3.7000000000000006,0.6667415600014346,0.6211515794106923,0.48998372457844297,1.0645197064042013,0.2403664234460199,0.34152244385301,0.1514822594665406,0.25622867504861313,0.04944618290018187,0.2090957188371974,0.06227456210975711,0.15160741393295998,0.08060109605912355,0.13198384639179897,0.07511231554594527,0.11080581784895882
3.900000000000001,1.2183902624962348,0.5040634585585171,0.9430565037623344,0.6472573696618291,0.6090476394792501,0.2805586755842554,0.35515105031618793,0.22744456077197853,0.22006364967541153,0.1850162804136027,0.19618360228945614,0.11488648211768272,0.19867353633592005,0.10764317965724385,0.22920187834928557,0.09414660826989976
4.1000000000000005,1.256096807659994,0.4142290054312292,1.4246684150304048,0.43779186370893775,0.8030014013282396,0.2166349255386665,0.5437241437355385,0.1829409855445776,0.30949865135437854,0.125567838649644,0.31698778563713753,0.09092845475670291,0.36401978940710433,0.08081815631810074,0.33794051620665716,0.07796526185340226
4.300000000000001,0.9968644332964927,0.3898109371241567,1.0870610088941963,0.41378725598503113,0.741465367827177,0.21844209295742117,0.5413467918492896,0.16049298676061188,0.28612814849151824,0.1174407749656348,0.3844808929813526,0.09778821678443456,0.3587541749062472,0.10101158870738264,0.31063351608509066,0.0820503961126771
4.500000000000001,0.7009442607838116,0.37683490019700117,0.6254046111112839,0.3760335782782097,0.5727842814338419,0.289053911939024,0.34588701187716586,0.2474071728341687,0.22349729045457944,0.15037612497378441,0.28048363479262756,0.11683494228382228,0.23036015089805864,0.11858768959483665,0.22046963097425204,0.10487458490237528
4.7,0.4893053163684869,0.4058834384892505,0.4649001629520603,0.41277725135339016,0.4851624917282533,0.355871220593604,0.3187659404444625,0.33769899708367046,0.17196530389133344,0.1905701095570047,0.22931185659171335,0.1549292104115617,0.18903194074008745,0.1471424433780645,0.18280506579552228,0.11922573447497896
4.9,0.46480648888771015,0.4214248733251507,0.4522759793056236,0.44743192028416934,0.6118890741348161,0.41955807739035555,0.34293590562115905,0.4743152694472996,0.16500647378598982,0.20110047676319784,0.24701147462124745,0.1870068978745588,0.19063712238279784,0.1677014991346928,0.2104989274576816,0.1491155906223227
5.1000000000000005,0.4608890868692215,0.4683274538955693,0.469087542899016,0.4358710192294011,0.7257504494916586,0.5023958743367202,0.4263918507242221,0.5875423018627035,0.20389449575766083,0.2812561728851279,0.3340760964007249,0.2346917556340922,0.22515318021836855,0.20097654383613195,0.21697657966854153,0.19084571668726522
5.300000000000001,0.48658522459177245,0.5317180526390797,0.5111367166534391,0.48821344116563514,0.8179150719548516,0.5794917889139387,0.5557558071754192,0.7236404090704642,0.2240568377593261,0.3368779870669557,0.38388580043635956,0.3049991775198175,0.25536013479867375,0.25992759927285025,0.2433275494014707,0.24712432221827332
5.500000000000001,0.5115358394135217,0.6133280544339264,0.5198305042464038,0.5980465060249331,0.8473749393431633,0.6700247352860917,0.6302148554418946,0.8046150671827667,0.26774289054837663,0.3866180020983464,0.4219741277416562,0.34620917547205204,0.3382823314385449,0.3183522963837556,0.2951925694882956,0.301311025684208
5.700000000000001,0.585112977104798,0.650909686499374,0.53455397503675,0.666196775390672,0.8535599626065413,0.7571045661340761,0.7282029844818052,0.9037299316781111,0.31257294374879313,0.443228259975904,0.51946820283198,0.4351548764463057,0.35085901510656786,0.36620771641009814,0.3396933198745937,0.36272076312312224
5.9,0.6606773545664895,0.7138750071278415,0.6235738889033157,0.6744125152720581,0.9254741238877342,0.8374972679876076,0.8341647765576254,1.0029688686168892,0.38466668153854855,0.5419395409270016,0.5486101757475013,0.48739156920652593,0.4240226912016853,0.4233567101051386,0.43486693895379835,0.4026917275433282
6.1000000000000005,0.7710653287185038,0.7555570823029325,0.700974005390732,0.7195142130429676,0.9946145154217126,0.8701022479255389,0.9619394527799671,1.0445123512413326,0.4380302525483927,0.614262662483178,0.6850908490354203,0.5384556066363534,0.5159873818031729,0.4883083884053617,0.4964787511613579,0.45697236202591557
6.300000000000001,0.8805532432368272,0.78751177676256,0.8268413627517479,0.7763308754322524,1.150892083254425,0.9107891329732191,1.0476617660911336,1.1175924385181664,0.5796669534992841,0.6217230936156052,0.7547559321700996,0.6023423973600172,0.5905459983881542,0.5384595127297017,0.60607778335687,0.5161515053656496
6.500000000000001,0.9690730563840326,0.7691058751634445,0.8981412615853321,0.7740544971874515,1.2401838693509641,0.9483900834033618,1.1411585042610455,1.1380030972285644,0.6751174977830926,0.6733607752875236,0.8544546500282588,0.6434235646775949,0.6705292177883376,0.5538110969329111,0.6744423810125088,0.5423816996868718
6.700000000000001,0.9766178524521824,0.7771168467593167,0.9693602619756942,0.7925414155038748,1.2685172380973604,0.9715564331113394,1.1689547018085806,1.2432024215801398,0.7044053513438885,0.6805262832613459,0.9167809025723708,0.6572038250494258,0.732789525048824,0.5912123315247209,0.7356392436651058,0.5620977181504551
6.900000000000001,0.9919433733983511,0.7510836025103682,0.9495379191015112,0.7997477157331065,1.2688295860195904,0.9855305250667291,1.2417435976844753,1.2955507384349798,0.7329012261655496,0.7328798516383178,0.8910107361628525,0.665563489581322,0.7522982581949661,0.5834331260455606,0.7257545993557692,0.5840337228199659
7.100000000000001,0.9612288397651898,0.7705284733735407,0.9333707473199868,0.8229354206848164,1.2018097126778462,1.028304959657865,1.2700948834204013,1.2917360814181356,0.7469126315259664,0.7169744544241099,0.8927682096633194,0.724885147126206,0.7858999232480094,0.6487506803959818,0.7371942611357778,0.6084098323423522
7.300000000000001,0.9292861565492792,0.7725840982211771,0.9297582693725625,0.7968984501509854,1.155271896314142,1.0409566075437464,1.2541334392429384,1.3125567366649493,0.7479563619521217,0.7446900011673141,0.8998157933950938,0.7515139950931491,0.8043817724301787,0.679918023631922,0.7898495346358299,0.6256586370620127
7.500000000000001,0.8859603587472659,0.792948696258428,0.9138306349956279,0.8556162272080694,1.1328991144556702,1.0591895832376466,1.246431109080999,1.3248834262657931,0.7926328866864012,0.7281467026282236,0.9153332894404966,0.7648615746371565,0.8082048470636658,0.7344531503354812,0.7873091892281086,0.6542359445258881
7.700000000000001,0.9018727522931373,0.8219280894614485,0.9141455576945696,0.8224179969367825,1.1357736176006883,1.0430093855121871,1.2682086482294044,1.3955632879164814,0.7792756224900215,0.7384982135209683,0.9083765751093662,0.7872305536014295,0.844607496623867,0.7688430021983694,0.820771501745665,0.6763637181322928
7.900000000000001,0.9102387579767515,0.8469130895382737,0.9229031629499741,0.8574364310014776,1.159594305052581,1.0654317136243905,1.2959546350006301,1.3728016802052425,0.7883349693554034,0.7383300107945264,0.9288720331441789,0.8085862678661653,0.9026587235450276,0.8026928197741957,0.830185226573936,0.6971910112580021
8.100000000000001,0.9283474591089235,0.8581313534352869,0.9329388819486685,0.8867789595023963,1.1178037047010527,1.0706178067269887,1.328536305647873,1.3395374384879881,0.7774054053733759,0.7405883951912757,0.9351761427585437,0.8158954078037229,0.9825000128748355,0.8548946548791392,0.8328986141283266,0.7447790142524591
8.3,0.9658832574638176,0.8620553445444817,0.9515074007827726,0.8915589134137393,1.1713168337312903,1.144225414724027,1.359758302172517,1.2408569472713418,0.7908109572586367,0.7564058931813309,0.9752923122075176,0.8359119815048441,1.0196467849165587,0.8409401282419271,0.8709843532782512,0.7805053422829032
8.500000000000002,0.9598466005632091,0.9017179095402901,0.9893560343804932,0.9011104492590505,1.2136225516185875,1.1381169424727762,1.298418293185469,1.2097734710427925,0.8066169712712057,0.7684220676888577,0.9747179439421412,0.8494534946236809,1.047910343194641,0.8434830804601756,0.9157157750703193,0.7442196761654272
8.700000000000001,1.0050326619532222,0.8836649471732565,0.9768695046613912,0.9152966060428935,1.2339531590304487,1.1481614241583686,1.2602491843906642,1.157801407636234,0.8372138530744276,0.7984048378514585,0.9966879815323504,0.8485386570824097,1.04419407371891,0.8192479880831037,0.9398853094359332,0.7713306621320576
8.900000000000002,1.0035905480346212,0.888340356359639,0.9961562182060252,0.9102706087230859,1.2590842767102128,1.1313242021888006,1.1866847138484298,1.1497440536007697,0.8524055260336458,0.8098026204747787,0.9907081073344604,0.8594178026713378,1.021065924294551,0.814409701353376,0.9650988628362712,0.8142828659887109
9.100000000000001,1.0022154463889743,0.9216961471955079,0.9937378708632261,0.9199029448945201,1.2418505940453566,1.1493393379651726,1.1916471756405933,1.1490737872324743,0.8774298105362178,0.8116746667188668,1.0118467288132256,0.8890149735842483,0.9824391338052016,0.8591153538879597,0.9717639829277079,0.8142159162702638
9.3,1.022212138103157,0.9256827421412391,0.9904626380262739,0.9482098115970119,1.2178742868736672,1.145897551433667,1.1804350772248995,1.1467116240053983,0.8917087379599061,0.8234339762943778,1.0288209504302157,0.8780109198285065,1.0044435464611512,0.8879050801009586,0.9952412398276509,0.8212460564900327
9.500000000000002,1.0200613519238657,0.917382238313732,1.0249309914495848,0.905073879166637,1.2085626280731872,1.1463892047244202,1.1762604649040107,1.1366035548063675,0.9067978944225594,0.8392839709968015,1.0244485815463122,0.8870147938034619,0.9788550212821986,0.8811865227602392,0.9758733653554827,0.8474301920478781
9.700000000000001,0.9874966826890305,0.9091988831902771,0.9930970434022544,0.9234392949208365,1.2088710649922878,1.1377364984405953,1.1591466220826505,1.1526697128075738,0.9032380001125451,0.8255348354301896,1.00476272926752,0.8842020773330888,0.9979526610157057,0.884543239302874,0.9831059441274443,0.851029733498071
9.900000000000002,1.0154333400612416,0.9099815776633178,1.024266940632378,0.9433028495599638,1.1914448037193361,1.12962225412286,1.1551133804774598,1.1341550124468294,0.9061323550722601,0.8463606643389049,1.0178049746216835,0.8997277852619987,1.0151105391319697,0.9016612027521786,0.9771847419362483,0.858579442984593
10.100000000000001,1.0091784689020147,0.912257684849659,0.9884069522888063,0.9148706499372875,1.1606746860524193,1.089652540216355,1.1593761107101193,1.1442089213447746,0.9278826016634848,0.8633731915926975,1.0318616855207574,0.8926718236800695,1.0061656145109659,0.9126605945084784,1.0071077724887476,0.8657332691800654
10.300000000000002,1.0054754453799526,0.9139977564487504,1.0115105956636337,0.9318132228137075,1.10889857300863,1.0939063993623108,1.1479206282438872,1.1276072590119481,0.9530620165059963,0.8407958771217734,0.9887508110350047,0.8968644801754552,1.0043569570306692,0.905117596972719,1.00822178189279,0.8717001534294151
10.500000000000002,1.000524281513269,0.9423711011274899,0.9896089971635129,0.9321754798898118,1.104571967824558,1.0919586198717166,1.138969554872702,1.1207159534119993,0.9294990618738408,0.837344432268154,1.0029697366865709,0.9007960142781342,1.0190148015830545,0.8884291217466429,1.0062432085015833,0.8939493756255659
10.700000000000001,0.9870231555461695,0.9413927803376574,0.9845086244724319,0.9222207359816388,1.0950192428870686,1.1106523415881377,1.1136064372904586,1.1118430951417921,0.9346136588832029,0.8511789159564275,1.0186203731926278,0.9053854563341954,1.0086681131557236,0.9063119574647158,0.9901214392474242,0.9023079854670397
10.900000000000002,0.9896627861714142,0.9490348243304392,0.9877658609996562,0.9511662145968471,1.1066390288169408,1.0883758564000812,1.1104368646484766,1.1348356229529766,0.9385142563444073,0.8715959011264222,1.0096573940857845,0.9328514054607209,1.0321589281134709,0.9150177055466497,1.0189410719604486,0.9023913387647301
11.100000000000001,0.9970705805163913,0.9613431655652012,1.005928949684557,0.9537178200106929,1.0995776976255074,1.104441273106638,1.1052580651785417,1.146568787222873,0.9552764758442744,0.8702064733283343,1.0191979967933495,0.93017042088094,1.034081249437091,0.9207350044711158,0.992327923428743,0.906613450218067
11.300000000000002,1.0033375720900932,0.9807648052663605,1.0141464103230289,0.9595625398411192,1.0875556661021073,1.10928609833178,1.0788365388229852,1.153682568685756,0.9614312530985438,0.8604719216886603,1.0115268053940285,0.9241526055829515,1.0169543369059313,0.9218717491273177,1.00976854566355,0.9121590652786064
11.500000000000002,1.0167255723870339,0.9656361568971497,1.011704868154761,0.972142416179789,1.0619797922563128,1.1114809244243078,1.0975222698883484,1.1576748520746056,0.9577680218309793,0.8607289909529927,1.023966911125433,0.9460507084740577,1.0079694546276585,0.9566696842730581,1.0236053231680282,0.9368903201887993
11.700000000000001,0.9922481651698171,0.9622398571120179,1.0069120665521936,0.9704530308259626,1.0738025469985741,1.1026826936446747,1.0684848172599541,1.1423871374446521,0.9606587940168597,0.8920868703764591,1.015368785574867,0.9616801017899846,1.000190820745868,0.9586226083860305,1.0110832056422905,0.9438791114166146
11.900000000000002,1.0062017210409577,0.9792039974591316,1.0049664411633157,0.9759683753307238,1.0719525024497283,1.0898072119890019,1.0662031604411357,1.1564876777911517,0.9662714713911796,0.9005608829853349,1.0108364220132469,0.961078049113343,1.0029885134071046,0.9692408205746078,1.0121052501860177,0.9323882138560761
12.100000000000001,0.9940297799814398,0.9724534161888161,1.0091956840613108,0.9514241623118774,1.045974686840412,1.0796928852849668,1.0525416820304623,1.1464750903561656,0.9656807854302789,0.9036160277948608,1.0118723755201104,0.9696052328582585,1.0137066772977792,0.9691218266520798,1.0161881752554909,0.9668961041517762
12.300000000000002,0.9949574065057349,0.981669414384195,0.9911498360840049,0.9854200351591231,1.0524615035383378,1.102416101442727,1.0645651490383887,1.113698611161845,0.9646173145533536,0.905896501167844,0.9956463725916334,0.9824963674661056,1.0046374395005688,0.9637664455268768,0.9920333589804539,0.957697840397067
12.500000000000002,0.9823157921598619,0.9752698725381213,1.008084070661002,0.9796673914148089,1.0405951358329881,1.0783103102720215,1.0501713736914302,1.1314061417373602,0.9701089960746397,0.917518826905808,1.0021634585360064,0.9785332361968712,1.0066177912947762,0.9963398196238379,1.0053346389823863,0.9515348980095766
12.700000000000003,0.985365456938369,0.9840025282080082,1.0054299210468456,0.9795807341713094,1.0421150278986886,1.0716912426231548,1.0622506344853941,1.1210893057543494,0.9760226856837598,0.9341363058173505,1.0014815563575246,0.97694680593205,1.008524666711756,0.9786742723297043,1.01816820869908,0.9727553008832537
12.900000000000002,1.0028291279137007,0.9759058682486901,1.0017779347831233,0.9859500883039934,1.0396078704038503,1.0930279866140888,1.0365096449719828,1.1151870229711807,0.9725152501481613,0.9321528106144721,1.004049864989475,0.967513393500788,1.0260284880443717,0.9903584209405266,1.0050819369639767,0.9671112660720665
13.100000000000001,0.9904913300393619,0.9954616973781258,1.0056954139801815,0.9892321819689356,1.033510098069516,1.0711617378740024,1.0385409769305411,1.1077255134885375,0.9747566135961943,0.931401679740754,0.9956960107933824,0.975485929737175,1.0087511812773922,0.9852806217103263,1.0011585158621528,0.9744461202593312
13.300000000000002,1.0049539128464082,1.0041495125394628,0.9980109016488496,1.0070709850054846,1.048934913373349,1.0875665899985956,1.0447568656151354,1.0910978795764457,0.9737318906310664,0.9198600737461333,1.006312458086376,0.9824589689433644,1.0286269618338726,0.9957183768763018,1.009281840856551,0.9693761676671528
13.500000000000002,0.995560641280293,0.9936226299503423,1.0003130250323646,0.9801948563462366,1.0288553963597862,1.0931223029375947,1.038294018682128,1.0841129511868568,0.9746109523631874,0.9328204762193815,0.9997682192977531,0.9885001268528735,0.9921810976739345,0.9913262432005487,1.0110505075725296,0.9873729475682284
13.700000000000003,1.0083997279885195,0.9854039331089895,1.019629420972631,0.9951971432688047,1.0384061130536368,1.0830596307515117,1.0312956229308747,1.0786912512792868,0.9883836959503038,0.9498054380826189,1.0049348593206022,0.9794003985308999,1.004320333190662,1.0084313450205276,1.0068059556150877,0.9996091477138624
13.900000000000002,1.006138226488556,1.0064750079651594,0.9971186655625622,0.995366251701126,1.0309814146095184,1.0710159408752111,1.0225961920242221,1.060057979757039,0.9966173057725817,0.9452813294470654,1.0143861787673265,0.9880360842694653,1.0052280009635428,1.006863230370882,1.0269897703303417,0.9782218128821583
