r (Angstrom),"g(r) N-Cl-, Glycine (G)","g(r) N-OE1, Glycine (G)","g(r) N-Cl-, Serine (S)","g(r) N-OE1, Serine (S)","g(r) N-Cl-, Arginine (R)","g(r) N-OE1, Arginine (R)","g(r) N-Cl-, Lysine (K)","g(r) N-OE1, Lysine (K)","g(r) N-Cl-, Aspartic acid (D)","g(r) N-OE1, Aspartic acid (D)","g(r) N-Cl-, Glutamine (Q)","g(r) N-OE1, Glutamine (Q)","g(r) N-Cl-, Tyrosine (Y)","g(r) N-OE1, Tyrosine (Y)","g(r) N-Cl-, Phenylalanine (F)","g(r) N-OE1, Phenylalanine (F)"
11.300000000000002,1.1179126244166193,0.961637410367909,0.961637410367909,0.9481762672563268,0.9481762672563268,1.0935437769599898,1.0935437769599898,1.1179126244166193,1.1179126244166193,0.8920351974425593,0.8920351974425593,0.9347754400759756,0.9347754400759756,0.934402821107446,0.934402821107446,0.9156803200753556
11.500000000000002,1.121245075577409,0.9560993104479976,0.9560993104479976,0.9709510477843031,0.9709510477843031,1.1040225832176294,1.1040225832176294,1.121245075577409,1.121245075577409,0.8970550169731771,0.8970550169731771,0.941831175399327,0.941831175399327,0.9469538105809472,0.9469538105809472,0.9203725990600395
11.700000000000001,1.1205333758131086,0.9587840323313541,0.9587840323313541,0.9607151067834119,0.9607151067834119,1.088299797076716,1.088299797076716,1.1205333758131086,1.1205333758131086,0.8888972598075472,0.8888972598075472,0.9361676698363058,0.9361676698363058,0.9661546840512051,0.9661546840512051,0.9549584715088506
11.900000000000002,1.1380084242507196,0.9671131539164985,0.9671131539164985,0.9695615077336912,0.9695615077336912,1.0741947549620057,1.0741947549620057,1.1380084242507196,1.1380084242507196,0.8867711440931428,0.8867711440931428,0.9659051820021989,0.9659051820021989,0.9706025752134154,0.9706025752134154,0.9423355868524319
12.100000000000001,1.125730945893675,0.9775705337129518,0.9775705337129518,0.9772721223371564,0.9772721223371564,1.0869519412851698,1.0869519412851698,1.125730945893675,1.125730945893675,0.9007870011294611,0.9007870011294611,0.9750044241833892,0.9750044241833892,0.9580967357680685,0.9580967357680685,0.9309233993392664
12.300000000000002,1.1336552692844417,0.9787915457199766,0.9787915457199766,0.9647475512982879,0.9647475512982879,1.0848642630665226,1.0848642630665226,1.1336552692844417,1.1336552692844417,0.9047687703185209,0.9047687703185209,0.9718630998081439,0.9718630998081439,0.9705624342631497,0.9705624342631497,0.9604210942452326
12.500000000000002,1.1268766978015599,0.9873111958141236,0.9873111958141236,0.9882126017668506,0.9882126017668506,1.0885351456399814,1.0885351456399814,1.1268766978015599,1.1268766978015599,0.9252074018730189,0.9252074018730189,0.9679745480015252,0.9679745480015252,0.9680858828991707,0.9680858828991707,0.9590683302341061
12.700000000000003,1.1424510012973697,0.9938046634128778,0.9938046634128778,0.9944706293652641,0.9944706293652641,1.0989652089830297,1.0989652089830297,1.1424510012973697,1.1424510012973697,0.9184104936512179,0.9184104936512179,0.9627174524290872,0.9627174524290872,0.9827570529398276,0.9827570529398276,0.9700500975169236
12.900000000000002,1.1314249809833459,0.9892477736155356,0.9892477736155356,0.9967275421333319,0.9967275421333319,1.0860968912573865,1.0860968912573865,1.1314249809833459,1.1314249809833459,0.9232479906382202,0.9232479906382202,0.9854565247537872,0.9854565247537872,0.9825372504161196,0.9825372504161196,0.9703259072105661
13.100000000000001,1.104642522273798,0.9987299527633133,0.9987299527633133,0.9857645602455452,0.9857645602455452,1.0815098221002826,1.0815098221002826,1.104642522273798,1.104642522273798,0.9280165555431777,0.9280165555431777,0.9847352305423607,0.9847352305423607,0.9975024989461704,0.9975024989461704,0.9714041139109983
13.300000000000002,1.1059641729056544,1.000608098266646,1.000608098266646,0.9720326826573892,0.9720326826573892,1.0683093748573453,1.0683093748573453,1.1059641729056544,1.1059641729056544,0.9395512497270998,0.9395512497270998,0.9842418735526437,0.9842418735526437,0.9930428158711548,0.9930428158711548,0.9637508833660029
13.500000000000002,1.100660446335191,0.9968321638642527,0.9968321638642527,0.9919553665851215,0.9919553665851215,1.0825048762743164,1.0825048762743164,1.100660446335191,1.100660446335191,0.9375463512591689,0.9375463512591689,0.9944519574714874,0.9944519574714874,0.9795349919322236,0.9795349919322236,0.9795640950406265
13.700000000000003,1.0851024878502167,0.9861782703650804,0.9861782703650804,0.9902735321679628,0.9902735321679628,1.0858438573291582,1.0858438573291582,1.0851024878502167,1.0851024878502167,0.9413404106837243,0.9413404106837243,0.9842544785647721,0.9842544785647721,0.9942112600513184,0.9942112600513184,0.9883558884607339
13.900000000000002,1.0702720236912349,1.0011927763953938,1.0011927763953938,0.990358625563432,0.990358625563432,1.0570513211409942,1.0570513211409942,1.0702720236912349,1.0702720236912349,0.9442701796579381,0.9442701796579381,0.9717745735091233,0.9717745735091233,1.003541269721714,1.003541269721714,0.9786487490838549
14.100000000000003,1.0738968389372974,0.9973417486348644,0.9973417486348644,0.9919257234690648,0.9919257234690648,1.0700176591278057,1.0700176591278057,1.0738968389372974,1.0738968389372974,0.9511196398234001,0.9511196398234001,0.9991524865089798,0.9991524865089798,1.0056664887894213,1.0056664887894213,0.9883322707210609
14.300000000000002,1.0456509389055304,0.9937373853181757,0.9937373853181757,0.9859485297256663,0.9859485297256663,1.0671738838903233,1.0671738838903233,1.0456509389055304,1.0456509389055304,0.9556737800926718,0.9556737800926718,1.0075558564525058,1.0075558564525058,0.9942739464328243,0.9942739464328243,0.987109073749606
14.500000000000002,1.0567210150624229,0.99646907975064,0.99646907975064,1.0092437784892891,1.0092437784892891,1.0722087012973178,1.0722087012973178,1.0567210150624229,1.0567210150624229,0.9583406653524524,0.9583406653524524,1.0044734334993934,1.0044734334993934,1.016947202554904,1.016947202554904,0.9859992088635723
14.700000000000003,1.05780419468669,1.0057172867883335,1.0057172867883335,0.9949915671446434,0.9949915671446434,1.0590209715816112,1.0590209715816112,1.05780419468669,1.05780419468669,0.9645088813521,0.9645088813521,0.9913246182985423,0.9913246182985423,1.019612322726652,1.019612322726652,0.9950754402798145
14.900000000000002,1.0370635024028465,1.0087998503881535,1.0087998503881535,1.008599741685714,1.008599741685714,1.0575311381344648,1.0575311381344648,1.0370635024028465,1.0370635024028465,0.975402324100933,0.975402324100933,1.0112358905494492,1.0112358905494492,1.0112228760155286,1.0112228760155286,0.9948405745923101
