r (Angstrom),"g(r) OH-Cl-, F","g(r) OH-OE1, F"
0.1,0.0,0.0
0.30000000000000004,0.0,0.0
0.5000000000000001,0.0,0.0
0.7000000000000001,0.0,0.0
0.9000000000000001,0.0,0.0
1.1000000000000003,0.0,0.0
1.3000000000000003,0.0,0.0
1.5000000000000004,0.0,0.0
1.7000000000000004,0.0,0.0
1.9000000000000004,0.0,0.0
2.1000000000000005,0.0,0.0
2.3000000000000007,0.0,0.0
2.5000000000000004,0.0,0.0
2.7000000000000006,0.0,0.0
2.900000000000001,0.0,0.0
3.1000000000000005,0.0,0.0
3.3000000000000007,0.0,0.0011142709392700219
3.500000000000001,0.0,0.004950784579002794
3.7000000000000006,0.0,0.015072981971030444
3.900000000000001,0.008244799727168965,0.037500830635393015
4.1000000000000005,0.04326884499563331,0.05630677948725978
4.300000000000001,0.08817092395125135,0.11682373955542227
4.500000000000001,0.19198377447433948,0.19057248819030903
4.7,0.2804553061776829,0.23568691649617246
4.9,0.3739860740734867,0.2436406336333884
5.1000000000000005,0.43780997827568213,0.2878931868871252
5.300000000000001,0.45227597399769226,0.32835273642078044
5.500000000000001,0.4303484531468632,0.3446426306468535
5.700000000000001,0.42886080626232054,0.40942247788445496
5.9,0.46873825884951675,0.4410454635610088
6.1000000000000005,0.5349047772963171,0.4840418621611802
6.300000000000001,0.5394026918009368,0.5244435393388109
6.500000000000001,0.5951820063792538,0.5374863137830763
6.700000000000001,0.674452580796702,0.6042827758081486
6.900000000000001,0.7254910867107288,0.6329973739803346
7.100000000000001,0.7722747903126745,0.6368465928494136
7.300000000000001,0.8070330626688685,0.6463706083099526
7.500000000000001,0.8528635465506811,0.6650003241301026
7.700000000000001,0.8713293987559624,0.6753309573508355
7.900000000000001,0.9059473265029409,0.6828110091726803
8.100000000000001,0.9068801107706116,0.7109251677352466
8.3,0.8897384896023637,0.7341716416947368
8.500000000000002,0.9237008318107086,0.7553110841076307
8.700000000000001,0.958445128864021,0.7774107159032538
8.900000000000002,0.9337481476193596,0.783167096479272
9.100000000000001,0.9731262653882279,0.806442728007726
9.3,0.9642061350027826,0.8274211193649476
9.500000000000002,0.9976943390092253,0.8240099356090791
9.700000000000001,0.9795066297031649,0.8297272760519713
9.900000000000002,0.9719407287114582,0.8473244775198855
10.100000000000001,0.9981334748379066,0.8812071039785082
10.300000000000002,0.9546633625955026,0.8726191276095445
10.500000000000002,0.9743898762582455,0.8874478905055848
10.700000000000001,0.9851912394003366,0.9141698992886176
10.900000000000002,1.002154310466923,0.9160828103475559
11.100000000000001,1.003931916670966,0.9303693015261265
11.300000000000002,1.0058389650471724,0.9145517598014898
11.500000000000002,1.0111819320665396,0.9514711997639917
11.700000000000001,1.0134648636911894,0.9437081532438633
11.900000000000002,1.009268431279205,0.9442249966357555
12.100000000000001,1.0114763251770533,0.962019489007268
12.300000000000002,1.007866301628971,0.9501572185981333
12.500000000000002,1.008062782719522,0.9598477725164063
12.700000000000003,0.9992707662073086,0.9601926402138057
12.900000000000002,1.0115633469906915,0.972222024310742
13.100000000000001,1.0045951297540836,0.9706238340383743
13.300000000000002,0.9968025303949102,0.9902998892514212
13.500000000000002,0.9993509039141948,0.9751604034835166
13.700000000000003,1.0207061397855934,0.978271074443779
13.900000000000002,1.0006343518641856,0.9950626040263788
14.100000000000003,1.0201440639267865,0.9777052079395585
14.300000000000002,1.0067140154137246,0.9940020629926377
14.500000000000002,1.012897966962122,0.9792314976664269
14.700000000000003,0.9956256117401238,0.9935573315143615
14.900000000000002,1.0000349003581537,1.0069713261720716
15.100000000000003,1.0130529592413187,0.9975115226166804
15.300000000000002,1.00554666148026,0.9936508590815654
15.500000000000002,1.0071217460803226,1.0085330593936432
15.700000000000003,1.0226904879694518,1.0113646120678434
15.900000000000002,1.0019876355899553,1.0009161651622454
16.100000000000005,1.010781019067408,1.0235980131643192
16.300000000000004,1.0161536779980873,1.0176927175556436
16.500000000000004,1.0067791133290651,1.0062268705675803
16.700000000000006,0.9971115652629786,1.0070315931992577
16.900000000000006,1.0039090639343495,1.0065892876014948
17.100000000000005,1.0033831122387225,1.0085722191547142
17.300000000000004,1.0007269703550514,1.0119516147823877
17.500000000000004,1.0015337310549692,1.0080597821169364
17.700000000000006,1.0049323234565555,1.00586824481861
17.900000000000006,1.0027996729469062,1.0048886769961367
18.100000000000005,1.0136865523514345,1.0248584168797599
18.300000000000004,1.0084298064184267,1.014026957919357
18.500000000000004,1.0061316660181532,1.0065795545225142
18.700000000000006,1.0031974827807701,1.00634428343606
18.900000000000006,1.0054633906517236,1.0075865554657772
19.100000000000005,1.0126060653850102,1.0101207751043741
19.300000000000004,1.0113265716926612,1.005138248963822
19.500000000000004,1.004442787753343,1.0063568897477178
19.700000000000006,1.0145327216387776,1.000254026770642
19.900000000000006,1.0028572559274522,1.0071587319113118
20.100000000000005,1.0035202807274883,1.0077058789180584
