r (Angstrom),"g(r) OH-Cl-, Y","g(r) OH-OE1, Y"
0.1,0.0,0.0
0.30000000000000004,0.0,0.0
0.5000000000000001,0.0,0.0
0.7000000000000001,0.0,0.0
0.9000000000000001,0.0,0.0
1.1000000000000003,0.0,0.0
1.3000000000000003,0.0,0.0
1.5000000000000004,0.0,0.0
1.7000000000000004,0.0,0.0
1.9000000000000004,0.0,0.0
2.1000000000000005,0.0,0.0
2.3000000000000007,0.0,0.0
2.5000000000000004,0.0,0.9893249161203469
2.7000000000000006,0.0,2.282079642672682
2.900000000000001,0.3696932756787591,0.645892119997254
3.1000000000000005,2.8414789043057405,0.2107289011718808
3.3000000000000007,1.5162934799570926,0.23718651098116877
3.500000000000001,0.424776356362878,0.25738974356904865
3.7000000000000006,0.1987522640095955,0.37999129974234325
3.900000000000001,0.2300058903566396,0.39870986280596676
4.1000000000000005,0.30360039294958957,0.5194503950001063
4.300000000000001,0.39741203770874206,0.6113029213567824
4.500000000000001,0.5436994879749882,0.6629959560535164
4.7,0.5795944532990935,0.734085380285213
4.9,0.6826327080908972,0.6481420158457702
5.1000000000000005,0.7878031253376322,0.62111383706163
5.300000000000001,0.7723290986437236,0.6386171664115705
5.500000000000001,0.7590652336921336,0.6275052421064018
5.700000000000001,0.7526655421970485,0.6536992040081187
5.9,0.7100687939746548,0.6557634328193942
6.1000000000000005,0.6865236545409755,0.7122521114332105
6.300000000000001,0.6872297441900321,0.7383347064657656
6.500000000000001,0.7248471834593254,0.7487509690278181
6.700000000000001,0.7945281621038656,0.7922639778238212
6.900000000000001,0.8192076048893098,0.7946283240391269
7.100000000000001,0.8906319605859595,0.7971869215812786
7.300000000000001,0.8900452599595093,0.7750398418877114
7.500000000000001,0.9051882692852613,0.802400082060784
7.700000000000001,0.9328132319980756,0.8148417302687824
7.900000000000001,0.9139113509254012,0.804059723674225
8.100000000000001,0.9052785700365047,0.8140246841039452
8.3,0.8914885922258124,0.836551057427344
8.500000000000002,0.8880480165017661,0.8179545254249538
8.700000000000001,0.912474210981452,0.8245477228573297
8.900000000000002,0.9222779950553927,0.8413479990580359
9.100000000000001,0.9285259929078951,0.8551594392164272
9.3,0.9374495406943963,0.8267383693882104
9.500000000000002,0.9582853911204869,0.8544219949364987
9.700000000000001,0.9397069336734258,0.8689193286776393
9.900000000000002,0.949722516499282,0.8587970022572926
10.100000000000001,0.9427316186973391,0.8731898914123042
10.300000000000002,0.9446587976005054,0.8972420358699152
10.500000000000002,0.9308578468711216,0.8959402482264727
10.700000000000001,0.9525786647160166,0.8954923086089697
10.900000000000002,0.9502431573664109,0.9107363150391923
11.100000000000001,0.9542794340819428,0.9141282395103075
11.300000000000002,0.9626399104482724,0.9195948055148269
11.500000000000002,0.9737381225530293,0.9263985841161926
11.700000000000001,0.9844331614809841,0.9283146000620228
11.900000000000002,0.9874891801584307,0.9341453488978749
12.100000000000001,0.9787589810842585,0.9248161587402228
12.300000000000002,0.9781928337566024,0.9534326598296989
12.500000000000002,0.966486020119352,0.9338596516932491
12.700000000000003,0.9882253133154612,0.9534209129686075
12.900000000000002,0.9731939404738288,0.9574831465312518
13.100000000000001,0.9958875388134178,0.9636574416224553
13.300000000000002,0.9943831169501385,0.984347749111173
13.500000000000002,0.9902559119355485,0.9642605382014584
13.700000000000003,1.0053212118348855,0.9651403102920969
13.900000000000002,0.9913362251571429,0.970328942016438
14.100000000000003,1.0002525238341542,0.9758800591763819
14.300000000000002,0.9994562120977395,0.9716132571900582
14.500000000000002,1.0084630389569809,0.989371757873699
14.700000000000003,0.9998390425461634,0.9833512144926836
14.900000000000002,1.0037381166270016,0.986630190574121
15.100000000000003,1.0048298758299057,0.9860514970889673
15.300000000000002,1.0008049497057685,0.9978560222377143
15.500000000000002,1.001977117813585,0.9854460457703996
15.700000000000003,1.0068869998944279,0.9824991305401146
15.900000000000002,1.0018055752652513,1.009276918653061
16.100000000000005,1.0091968499086414,0.991939527853757
16.300000000000004,1.0087078724748326,0.9964529991227625
16.500000000000004,1.0099709792813067,0.992917253417582
16.700000000000006,1.006343012131512,1.0003714671323654
16.900000000000006,1.008833307245681,0.9994240756644664
17.100000000000005,0.9994443847634564,1.00290036408193
17.300000000000004,0.9936482315805172,0.9938305786942815
17.500000000000004,1.0119780296191492,0.9922201324768725
17.700000000000006,0.999969099447359,1.0038910372479877
17.900000000000006,1.001115237647089,1.0109572363058548
18.100000000000005,1.000053157704202,1.0091084886512816
18.300000000000004,0.9971141513175843,1.0082903946301542
18.500000000000004,1.0079582161975398,0.9985825235846831
18.700000000000006,1.0073489668729554,1.0064886803046358
18.900000000000006,1.0143717351507102,0.9988799127748744
19.100000000000005,1.0042062942270251,1.0005131896618877
19.300000000000004,1.0025236796865873,1.0006714522405202
19.500000000000004,0.9997127020476952,1.0060489147789637
19.700000000000006,1.0020418922443948,1.002787726349035
19.900000000000006,1.011171006166319,1.011278655997392
20.100000000000005,1.0057976373914117,0.996672379115858
